"name","platform","day_only","variable","value"
"Caroline van der Plas
(BBB)","Twitter",2021-03-18,"Number of Messages",13
"Caroline van der Plas
(BBB)","Twitter",2021-03-19,"Number of Messages",20
"Farid Azarkan
(DENK)","Facebook",2021-01-05,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-01-06,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-01-07,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-01-11,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-01-12,"Number of Messages",2
"Farid Azarkan
(DENK)","Facebook",2021-01-13,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-01-14,"Number of Messages",5
"Farid Azarkan
(DENK)","Facebook",2021-01-15,"Number of Messages",2
"Farid Azarkan
(DENK)","Facebook",2021-01-18,"Number of Messages",2
"Farid Azarkan
(DENK)","Facebook",2021-01-19,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-01-21,"Number of Messages",2
"Farid Azarkan
(DENK)","Facebook",2021-01-23,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-01-24,"Number of Messages",2
"Farid Azarkan
(DENK)","Facebook",2021-01-25,"Number of Messages",3
"Farid Azarkan
(DENK)","Facebook",2021-01-26,"Number of Messages",2
"Farid Azarkan
(DENK)","Facebook",2021-01-28,"Number of Messages",3
"Farid Azarkan
(DENK)","Facebook",2021-01-31,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-02-01,"Number of Messages",4
"Farid Azarkan
(DENK)","Facebook",2021-02-03,"Number of Messages",3
"Farid Azarkan
(DENK)","Facebook",2021-02-05,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-02-08,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-02-09,"Number of Messages",2
"Farid Azarkan
(DENK)","Facebook",2021-02-15,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-02-16,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-02-17,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-02-18,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-02-19,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-02-20,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-02-21,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-02-23,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-02-24,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-02-25,"Number of Messages",2
"Farid Azarkan
(DENK)","Facebook",2021-02-26,"Number of Messages",3
"Farid Azarkan
(DENK)","Facebook",2021-02-27,"Number of Messages",3
"Farid Azarkan
(DENK)","Facebook",2021-03-01,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-03-02,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-03-03,"Number of Messages",3
"Farid Azarkan
(DENK)","Facebook",2021-03-04,"Number of Messages",3
"Farid Azarkan
(DENK)","Facebook",2021-03-05,"Number of Messages",4
"Farid Azarkan
(DENK)","Facebook",2021-03-06,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-03-07,"Number of Messages",1
"Farid Azarkan
(DENK)","Facebook",2021-03-08,"Number of Messages",3
