iisID,A2_1,A2_0
588,D66,Weet niet
998,PvdA,Weet niet
1155,Weet niet,Weet niet
874,Denk,Weet niet
1066,VVD,Weet niet
493,PvdA,Weet niet
1327,VVD,Weet niet
1151,CU,SP
779,Weet niet,Weet niet
1338,Weet niet,PVV
52,CDA,Weet niet
440,VVD,PVV
406,Weet niet,Weet niet
798,PvdA,Weet niet
444,PVV,Weet niet
489,PvD,SP
438,Weet niet,CU
286,VVD,FvD
1040,Weet niet,Weet niet
670,FvD,Weet niet
25,Weet niet,Weet niet
883,PvdA,CU
754,VVD,CDA
1368,SP,Weet niet
186,VVD,GL
965,PvdA,Weet niet
914,CU,CDA
110,VVD,VVD
939,VVD,Weet niet
371,VVD,Weet niet
738,GL,Weet niet
253,GL,PVV
867,SP,Andere
293,VVD,PVV
306,CU,D66
889,PvdA,Weet niet
260,CDA,D66
294,GL,VVD
354,CU,VVD
849,CDA,VVD
419,Weet niet,50Plus
1003,Weet niet,Weet niet
1038,PVV,PVV
1033,CDA,PVV
1115,VVD,Weet niet
1009,VVD,Weet niet
926,VVD,VVD
925,VVD,Weet niet
1316,Weet niet,GL
1286,SP,Weet niet
246,50Plus,CU
792,GL,Weet niet
1371,CDA,Weet niet
1484,Weet niet,Weet niet
1407,VVD,Weet niet
669,Weet niet,Weet niet
954,Weet niet,Weet niet
1366,VVD,PVV
819,Weet niet,Weet niet
1169,VVD,VVD
284,VVD,Weet niet
544,CDA,Weet niet
1086,Andere,PVV
1307,Weet niet,GL
556,PvdA,Weet niet
328,D66,Weet niet
315,SP,Weet niet
844,PVV,D66
366,CU,50Plus
1421,Andere,Weet niet
1309,CDA,Weet niet
265,PvdA,Weet niet
123,VVD,Weet niet
228,D66,VVD
356,VVD,VVD
452,VVD,CDA
