feature,frequency,rank,docfreq,group
verhalen,1,535,1,F_azarkan
groei,1,535,1,F_azarkan
niveau,1,535,1,F_azarkan
🤫,1,535,1,F_azarkan
deur,1,535,1,F_azarkan
wilt,1,535,1,F_azarkan
verboden,1,535,1,F_azarkan
nemen,1,535,1,F_azarkan
begrijp,1,535,1,F_azarkan
hoopvol,1,535,1,F_azarkan
leest,1,535,1,F_azarkan
verwoest,1,535,1,F_azarkan
levens,1,535,1,F_azarkan
paard,1,535,1,F_azarkan
wagen,1,535,1,F_azarkan
illegale,1,535,1,F_azarkan
enkele,1,535,1,F_azarkan
data,1,535,1,F_azarkan
zoveelste,1,535,1,F_azarkan
kast,1,535,1,F_azarkan
ma,1,535,1,F_azarkan
14.00,1,535,1,F_azarkan
levert,1,535,1,F_azarkan
inhoudelijke,1,535,1,F_azarkan
kritiek,1,535,1,F_azarkan
wees,1,535,1,F_azarkan
types,1,535,1,F_azarkan
bijdrage,1,535,1,F_azarkan
power,1,535,1,F_azarkan
snappen,1,535,1,F_azarkan
