naam,show,date,correct,corona,gender,migratie,vakgebied,wetenschap,partij,polfunctie,Datum,GEM
rober willemsen,Beau,2020-05-06,NA,1,m,0,Bedrijfsleven,NA,NA,NA,05/06/2020,744000
rober willemsen,Beau,2020-05-19,NA,1,m,0,Bedrijfsleven,NA,NA,NA,05/19/2020,802000
rober willemsen,Beau,2020-12-08,NA,1,m,0,Bedrijfsleven,NA,NA,NA,12/08/2020,976000
rober willemsen,Jinek,2021-02-22,NA,1,m,0,Bedrijfsleven,NA,NA,NA,02/22/2021,944000
rober willemsen,Jinek,2021-02-25,NA,1,m,0,Bedrijfsleven,NA,NA,NA,02/25/2021,715000
rober willemsen,Jinek,2021-03-02,NA,1,m,0,Bedrijfsleven,NA,NA,NA,03/02/2021,903000
rober willemsen,Jinek,2020-04-15,NA,1,m,0,Bedrijfsleven,NA,NA,NA,04/15/2020,903000
rober willemsen,Jinek,2020-04-21,NA,1,m,0,Bedrijfsleven,NA,NA,NA,04/21/2020,889000
robert de hoog,M,2021-01-28,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,01/28/2021,1023000
robert de hoog,Vooravond,2021-03-02,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,03/02/2021,876000
robert de hoog,Beau,2020-05-29,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,05/29/2020,808000
robert doornbos,Beau,2020-07-02,NA,0,m,0,Sporter,NA,NA,NA,07/02/2020,598000
robert doornbos,Beau,2020-12-10,NA,0,m,0,Sporter,NA,NA,NA,12/10/2020,790000
robert doornbos,Jinek,2021-02-09,NA,0,m,0,Sporter,NA,NA,NA,02/09/2021,977000
robert koning,M,2020-12-07,NA,1,m,0,Bedrijfsleven,NA,NA,NA,12/07/2020,944000
robert ten brink,Op1,2021-01-04,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,01/04/2021,810000
robert ten brink,Vooravond,2020-09-07,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,09/07/2020,886000
robert ten brink,Beau,2020-12-23,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,12/23/2020,582000
robert ten brink,Jinek,2020-10-08,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,10/08/2020,828000
robert ten brink,Jinek,2020-03-20,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,03/20/2020,1085000
robert van beckhoven,Op1,2020-07-13,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,07/13/2020,1054000
robert van beckhoven,Op1,2021-02-12,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,02/12/2021,979000
robert van beckhoven,Beau,2020-12-21,NA,0,m,0,Mediapersoonlijkheid,NA,NA,NA,12/21/2020,840000
robert vuijsje,M,2020-06-10,NA,0,m,0,Journalist,NA,NA,NA,06/10/2020,769000
robin de lange,Op1,2020-06-06,NA,0,m,0,Bedrijfsleven,NA,NA,NA,06/06/2020,1104000
robin de lange,Op1,2020-04-16,NA,0,m,0,Bedrijfsleven,NA,NA,NA,04/16/2020,1061000
robin fransman,Op1,2020-10-08,NA,1,m,0,Wetenschapper,Economie & Bedrijfskunde,NA,NA,10/08/2020,1157000
robin haase,Op1,2020-06-17,NA,0,m,0,Sporter,NA,NA,NA,06/17/2020,852000
robin peeters,Op1,2020-10-13,NA,1,m,0,Wetenschapper,Andere medische wetenschappen,NA,NA,10/13/2020,1094000
robin peeters,Beau,2020-11-11,NA,1,m,0,Wetenschapper,Andere medische wetenschappen,NA,NA,11/11/2020,611000
