partij,type,medium,days,gezien,waardering
CU & Gert-Jan Segers,Zwevend,Krant,Vaak,1.2,6.27
CU & Gert-Jan Segers,Zwevend,Socials,Nauwelijks,0.84,5.84
CU & Gert-Jan Segers,Zwevend,Socials,Regelmatig,0.96,5.59
CU & Gert-Jan Segers,Zwevend,Socials,Vaak,1.12,6.13
CU & Gert-Jan Segers,Zwevend,TV,Nauwelijks,0.51,4.38
CU & Gert-Jan Segers,Zwevend,TV,Regelmatig,1.15,5.44
CU & Gert-Jan Segers,Zwevend,TV,Vaak,1.01,6.24
D66 & Sigrid Kaag,Coalitievoorkeur,Krant,Nauwelijks,1.27,5.6
D66 & Sigrid Kaag,Coalitievoorkeur,Krant,Regelmatig,1.39,5.85
D66 & Sigrid Kaag,Coalitievoorkeur,Krant,Vaak,1.6,5.71
D66 & Sigrid Kaag,Coalitievoorkeur,Socials,Nauwelijks,1.38,5.6
D66 & Sigrid Kaag,Coalitievoorkeur,Socials,Regelmatig,1.43,5.63
D66 & Sigrid Kaag,Coalitievoorkeur,Socials,Vaak,1.57,5.99
D66 & Sigrid Kaag,Coalitievoorkeur,TV,Nauwelijks,1.05,5.23
D66 & Sigrid Kaag,Coalitievoorkeur,TV,Regelmatig,1.31,5.33
D66 & Sigrid Kaag,Coalitievoorkeur,TV,Vaak,1.58,5.85
D66 & Sigrid Kaag,Niet stemmer,Krant,Nauwelijks,0.71,5.12
D66 & Sigrid Kaag,Niet stemmer,Krant,Regelmatig,0.94,6.4
D66 & Sigrid Kaag,Niet stemmer,Krant,Vaak,0.47,6
D66 & Sigrid Kaag,Niet stemmer,Socials,Nauwelijks,0.68,5.25
D66 & Sigrid Kaag,Niet stemmer,Socials,Regelmatig,0.62,5
D66 & Sigrid Kaag,Niet stemmer,Socials,Vaak,1.07,6.29
D66 & Sigrid Kaag,Niet stemmer,TV,Nauwelijks,0.63,5
D66 & Sigrid Kaag,Niet stemmer,TV,Regelmatig,0.89,6
D66 & Sigrid Kaag,Niet stemmer,TV,Vaak,0.77,5.75
D66 & Sigrid Kaag,Partijvoorkeur,Krant,Nauwelijks,1.2,5.49
