mtype,id,date,publisher
Newspapers,2767046,2021-02-20,Algemeen Dagblad
Newspapers,2767049,2021-02-20,Algemeen Dagblad
Newspapers,2758881,2021-02-08,Algemeen Dagblad
Newspapers,2758882,2021-02-08,Algemeen Dagblad
Newspapers,2767094,2021-02-20,Algemeen Dagblad
Newspapers,2676986,2021-01-08,De Volkskrant
Newspapers,2767167,2021-02-20,De Volkskrant
Newspapers,2693504,2021-01-15,NRC Handelsblad
Newspapers,2693518,2021-01-16,De Telegraaf
Newspapers,2767257,2021-02-20,NRC Handelsblad
Newspapers,2693540,2021-01-16,De Telegraaf
Newspapers,2693566,2021-01-16,De Telegraaf
Newspapers,2767440,2021-02-19,De Volkskrant
Newspapers,2767477,2021-02-01,Trouw
Newspapers,2767521,2021-02-02,Trouw
Newspapers,2767569,2021-02-08,De Volkskrant
Newspapers,2767631,2021-02-09,De Volkskrant
Newspapers,2710335,2021-01-19,NRC Handelsblad
Newspapers,3283839,2021-02-27,Trouw
Newspapers,2767745,2021-02-08,Trouw
Newspapers,2767756,2021-02-08,Trouw
Newspapers,2767779,2021-02-09,Trouw
Newspapers,3283923,2021-02-27,NRC Handelsblad
Newspapers,2767851,2021-02-03,Trouw
Newspapers,3283955,2021-02-27,NRC Handelsblad
Newspapers,2767886,2021-02-03,Trouw
Newspapers,3284007,2021-02-27,NRC Handelsblad
Newspapers,3293081,2021-03-08,De Telegraaf
Newspapers,2751711,2021-01-29,NRC Handelsblad
Newspapers,2743733,2021-01-28,De Telegraaf
Newspapers,2751984,2021-01-30,NRC Handelsblad
Newspapers,2752029,2021-01-30,NRC Handelsblad
Newspapers,2752035,2021-01-30,NRC Handelsblad
Newspapers,2752073,2021-01-30,NRC Handelsblad
Newspapers,2743882,2021-01-28,De Telegraaf
Newspapers,2743884,2021-01-28,De Telegraaf
Newspapers,2743887,2021-01-28,De Telegraaf
Newspapers,2727640,2021-01-18,Algemeen Dagblad
Newspapers,3292902,2021-03-08,Trouw
Newspapers,2727712,2021-01-19,Algemeen Dagblad
Newspapers,2727721,2021-01-19,Algemeen Dagblad
Newspapers,2670420,2021-01-04,NRC Handelsblad
Newspapers,2678633,2021-01-08,NRC Handelsblad
Newspapers,2668414,2021-01-04,De Volkskrant
Newspapers,2733951,2021-01-26,De Telegraaf
Newspapers,2670468,2021-01-04,NRC Handelsblad
Newspapers,2676618,2021-01-08,Trouw
Newspapers,2733978,2021-01-26,Algemeen Dagblad
Newspapers,2670501,2021-01-05,Trouw
Newspapers,2758589,2021-02-06,NRC Handelsblad
Newspapers,2678718,2021-01-09,De Telegraaf
Newspapers,2865089,2021-02-26,De Telegraaf
Newspapers,2766792,2021-02-20,De Telegraaf
Newspapers,2676687,2021-01-08,De Telegraaf
Newspapers,2766813,2021-02-20,De Telegraaf
Newspapers,2766814,2021-02-20,De Telegraaf
Newspapers,2734049,2021-01-26,De Volkskrant
Newspapers,2758635,2021-02-06,NRC Handelsblad
Newspapers,2734068,2021-01-26,De Volkskrant
Newspapers,4293888,2021-03-17,Algemeen Dagblad
Newspapers,4293916,2021-03-17,Algemeen Dagblad
Newspapers,4191777,2021-03-17,Trouw
Newspapers,4191779,2021-03-17,Trouw
Newspapers,4961839,2021-03-17,NRC Handelsblad
Newspapers,4191801,2021-03-17,Trouw
Newspapers,4213306,2021-03-17,De Telegraaf
Newspapers,4213322,2021-03-17,De Telegraaf
Newspapers,4221538,2021-03-17,De Telegraaf
Newspapers,4213371,2021-03-17,De Telegraaf
Newspapers,4301760,2021-03-17,De Volkskrant
Newspapers,4301771,2021-03-17,De Volkskrant
Newspapers,4301816,2021-03-17,De Volkskrant
Newspapers,4293884,2021-03-17,Algemeen Dagblad
Newspapers,2762162,2021-02-10,Trouw
Newspapers,2696634,2021-01-16,NRC Handelsblad
Newspapers,2745803,2021-01-28,NRC Handelsblad
Newspapers,2754009,2021-02-02,De Telegraaf
Newspapers,2745822,2021-01-28,NRC Handelsblad
Newspapers,2745824,2021-01-28,NRC Handelsblad
Newspapers,2696687,2021-01-16,NRC Handelsblad
Newspapers,2696712,2021-01-16,NRC Handelsblad
Newspapers,2672161,2021-01-05,NRC Handelsblad
Newspapers,2754097,2021-02-02,De Telegraaf
Newspapers,2754127,2021-02-02,NRC Handelsblad
Newspapers,3286622,2021-03-02,De Telegraaf
Newspapers,3286633,2021-03-02,De Telegraaf
Newspapers,3286637,2021-03-02,De Telegraaf
Newspapers,2754180,2021-02-02,NRC Handelsblad
Newspapers,2762373,2021-02-10,De Telegraaf
Newspapers,2754200,2021-02-03,De Telegraaf
Newspapers,2754220,2021-02-03,De Telegraaf
