id,cat,subcat,label,count
2763460,actor,CDA,CDA,1
2763471,actor,CDA,CDA,1
2763496,actor,CDA,CDA,1
2763512,actor,CDA,CDA,1
2763552,actor,CDA,CDA,1
2763567,actor,CDA,CDA,2
2763624,actor,CDA,CDA,2
2763629,actor,CDA,CDA,1
2763665,actor,CDA,CDA,1
2763691,actor,CDA,CDA,1
2763694,actor,CDA,CDA,1
2763856,actor,CDA,CDA,7
2763870,actor,CDA,CDA,2
2763896,actor,CDA,CDA,1
2763902,actor,CDA,CDA,5
2763967,actor,CDA,CDA,6
2763968,actor,CDA,CDA,1
2763971,actor,CDA,CDA,1
2764002,actor,CDA,CDA,1
2764007,actor,CDA,CDA,1
2764077,actor,CDA,CDA,1
2764117,actor,CDA,CDA,1
2764129,actor,CDA,CDA,11
2764131,actor,CDA,CDA,1
2764146,actor,CDA,CDA,1
2764218,actor,CDA,CDA,1
2764225,actor,CDA,CDA,1
2764228,actor,CDA,CDA,5
2764237,actor,CDA,CDA,9
2764239,actor,CDA,CDA,1
2764258,actor,CDA,CDA,3
2764264,actor,CDA,CDA,1
2764275,actor,CDA,CDA,1
2764341,actor,CDA,CDA,1
2764374,actor,CDA,CDA,1
2764429,actor,CDA,CDA,1
2764579,actor,CDA,CDA,1
2764580,actor,CDA,CDA,1
2764673,actor,CDA,CDA,2
2764715,actor,CDA,CDA,1
2764798,actor,CDA,CDA,2
2764800,actor,CDA,CDA,1
2764834,actor,CDA,CDA,1
2764898,actor,CDA,CDA,1
2764990,actor,CDA,CDA,4
2765046,actor,CDA,CDA,1
2765090,actor,CDA,CDA,1
2765100,actor,CDA,CDA,1
2765108,actor,CDA,CDA,1
2765109,actor,CDA,CDA,13
2765115,actor,CDA,CDA,2
2765130,actor,CDA,CDA,4
2765156,actor,CDA,CDA,1
2765159,actor,CDA,CDA,1
2765168,actor,CDA,CDA,2
2765172,actor,CDA,CDA,1
2765177,actor,CDA,CDA,1
2765204,actor,CDA,CDA,7
2765237,actor,CDA,CDA,4
2765291,actor,CDA,CDA,1
2765294,actor,CDA,CDA,1
2765295,actor,CDA,CDA,2
2765492,actor,CDA,CDA,1
2765516,actor,CDA,CDA,2
2765528,actor,CDA,CDA,1
2765609,actor,CDA,CDA,1
2765672,actor,CDA,CDA,1
2765673,actor,CDA,CDA,1
2765694,actor,CDA,CDA,1
2765790,actor,CDA,CDA,1
2765850,actor,CDA,CDA,1
2765892,actor,CDA,CDA,2
2765898,actor,CDA,CDA,1
2765933,actor,CDA,CDA,1
