A2,name,value,means
PVV,Work from home,6.4753086419753085,7.308717445053013
PVV,Washing hands,6.845679012345679,7.308717445053013
PVV,Social distancing,6.783950617283951,7.308717445053013
PVV,Wearing Mask,6.333333333333333,7.308717445053013
PVV,Testing if symptomatic,6.716049382716049,7.308717445053013
PVV,Staying home after testing yourself or anyone in household,7.419753086419753,7.308717445053013
PVV,Quarantaine after traveling,6.827160493827161,7.308717445053013
PVV,Curfew,3.919753086419753,7.308717445053013
PVV,"Shops, bars, and restaurants open",3.462962962962963,7.308717445053013
SGP,Work from home,7.423076923076923,7.308717445053013
SGP,Washing hands,7.923076923076923,7.308717445053013
SGP,Social distancing,7.423076923076923,7.308717445053013
SGP,Wearing Mask,6.923076923076923,7.308717445053013
SGP,Testing if symptomatic,7.038461538461538,7.308717445053013
SGP,Staying home after testing yourself or anyone in household,8.115384615384615,7.308717445053013
SGP,Quarantaine after traveling,7.8076923076923075,7.308717445053013
SGP,Curfew,6.1923076923076925,7.308717445053013
SGP,"Shops, bars, and restaurants open",4.653846153846154,7.308717445053013
SP,Work from home,7.716666666666667,7.308717445053013
SP,Washing hands,8.441666666666666,7.308717445053013
SP,Social distancing,8.441666666666666,7.308717445053013
SP,Wearing Mask,8.366666666666667,7.308717445053013
SP,Testing if symptomatic,8.408333333333333,7.308717445053013
SP,Staying home after testing yourself or anyone in household,8.683333333333334,7.308717445053013
SP,Quarantaine after traveling,8.191666666666666,7.308717445053013
SP,Curfew,6.458333333333333,7.308717445053013
SP,"Shops, bars, and restaurants open",5.166666666666667,7.308717445053013
VVD,Work from home,8.371559633027523,7.308717445053013
VVD,Washing hands,8.504587155963304,7.308717445053013
VVD,Social distancing,8.802752293577981,7.308717445053013
VVD,Wearing Mask,8.876146788990825,7.308717445053013
VVD,Testing if symptomatic,8.784403669724771,7.308717445053013
VVD,Staying home after testing yourself or anyone in household,9.344036697247706,7.308717445053013
VVD,Quarantaine after traveling,8.86697247706422,7.308717445053013
VVD,Curfew,7.747706422018348,7.308717445053013
VVD,"Shops, bars, and restaurants open",5.935779816513762,7.308717445053013
