party,issue,n,score,perc
Forum voor Democratie,Europese Unie en de Euro,321,3.1931464174454827,15.544794188861985
Forum voor Democratie,Gezondheidszorg,51,6.333333333333333,2.469733656174334
Forum voor Democratie,"Klimaat, natuur, en milieu",79,4.189873417721519,3.8256658595641646
Forum voor Democratie,Mobiliteit en infrastructuur,22,5.954545454545454,1.0653753026634383
Forum voor Democratie,Normen en waarden,111,4.009009009009009,5.375302663438257
Forum voor Democratie,Ondernemingsklimaat,43,5.186046511627907,2.082324455205811
Forum voor Democratie,Onderwijs en wetenschap,31,5.774193548387097,1.5012106537530265
Forum voor Democratie,Ontwikkelingshulp,38,5.157894736842105,1.8401937046004841
Forum voor Democratie,Overheidsuitgaven en belastingen,81,5.691358024691358,3.922518159806295
Forum voor Democratie,Sociale zekerheid,51,6.392156862745098,2.469733656174334
Forum voor Democratie,Terreurbestrijding,89,5.033707865168539,4.309927360774819
Forum voor Democratie,Vrijheidsrechten,276,4.478260869565218,13.365617433414043
Forum voor Democratie,Werk en inkomen,45,6.133333333333334,2.1791767554479415
Forum voor Democratie,Woningen,33,5.818181818181818,1.5980629539951572
GroenLinks,Asielzoekers en migranten,166,3.7650602409638556,8.038740920096853
GroenLinks,Bestuurlijke vernieuwing,56,5.928571428571429,2.711864406779661
GroenLinks,Coronabeleid,161,5.75,7.796610169491526
GroenLinks,Criminaliteitsbestrijding,18,5.722222222222222,0.8716707021791767
GroenLinks,Een ander onderwerp,28,2.642857142857143,1.3559322033898304
GroenLinks,Europese Unie en de Euro,59,5.627118644067797,2.857142857142857
GroenLinks,Gezondheidszorg,137,6.6131386861313866,6.634382566585957
GroenLinks,"Klimaat, natuur, en milieu",830,5.7551266586248495,40.19370460048426
GroenLinks,Mobiliteit en infrastructuur,84,5.0476190476190474,4.067796610169491
GroenLinks,Normen en waarden,107,6.447619047619048,5.181598062953995
GroenLinks,Ondernemingsklimaat,86,5.458823529411765,4.164648910411622
GroenLinks,Onderwijs en wetenschap,118,6.567796610169491,5.714285714285714
GroenLinks,Ontwikkelingshulp,77,4.298701298701299,3.728813559322034
GroenLinks,Overheidsuitgaven en belastingen,96,5.552083333333333,4.648910411622276
GroenLinks,Sociale zekerheid,220,6.0227272727272725,10.653753026634384
GroenLinks,Terreurbestrijding,20,6.3,0.9685230024213075
GroenLinks,Vrijheidsrechten,116,6.310344827586207,5.6174334140435835
GroenLinks,Werk en inkomen,139,6.079136690647482,6.731234866828087
GroenLinks,Woningen,68,6.088235294117647,3.2929782082324457
Partij voor de Dieren,Asielzoekers en migranten,24,5.958333333333333,1.162227602905569
Partij voor de Dieren,Bestuurlijke vernieuwing,25,5.8,1.2106537530266344
