"day_only","platform","cum_messages","person","type"
2020-11-13,"Twitter",256516,"Geert Wilders (PVV)","Number of Shares"
2020-11-14,"Twitter",258746,"Geert Wilders (PVV)","Number of Shares"
2020-11-15,"Twitter",261119,"Geert Wilders (PVV)","Number of Shares"
2020-11-16,"Twitter",262762,"Geert Wilders (PVV)","Number of Shares"
2020-11-17,"Twitter",264603,"Geert Wilders (PVV)","Number of Shares"
2020-11-18,"Twitter",267426,"Geert Wilders (PVV)","Number of Shares"
2020-11-19,"Twitter",268365,"Geert Wilders (PVV)","Number of Shares"
2020-11-20,"Twitter",269330,"Geert Wilders (PVV)","Number of Shares"
2020-11-21,"Twitter",272107,"Geert Wilders (PVV)","Number of Shares"
2020-11-22,"Twitter",273862,"Geert Wilders (PVV)","Number of Shares"
2020-11-23,"Twitter",275371,"Geert Wilders (PVV)","Number of Shares"
2020-11-24,"Twitter",277084,"Geert Wilders (PVV)","Number of Shares"
2020-11-25,"Twitter",278651,"Geert Wilders (PVV)","Number of Shares"
2020-11-26,"Twitter",279187,"Geert Wilders (PVV)","Number of Shares"
2020-11-27,"Twitter",280945,"Geert Wilders (PVV)","Number of Shares"
2020-11-28,"Twitter",283305,"Geert Wilders (PVV)","Number of Shares"
2020-11-29,"Twitter",283975,"Geert Wilders (PVV)","Number of Shares"
2020-11-30,"Twitter",284501,"Geert Wilders (PVV)","Number of Shares"
2020-12-01,"Twitter",284743,"Geert Wilders (PVV)","Number of Shares"
2020-12-02,"Twitter",286954,"Geert Wilders (PVV)","Number of Shares"
2020-12-03,"Twitter",288799,"Geert Wilders (PVV)","Number of Shares"
2020-12-04,"Twitter",289854,"Geert Wilders (PVV)","Number of Shares"
2020-12-05,"Twitter",290472,"Geert Wilders (PVV)","Number of Shares"
2020-12-06,"Twitter",291265,"Geert Wilders (PVV)","Number of Shares"
2020-12-07,"Twitter",292158,"Geert Wilders (PVV)","Number of Shares"
2020-12-08,"Twitter",295871,"Geert Wilders (PVV)","Number of Shares"
2020-12-09,"Twitter",298492,"Geert Wilders (PVV)","Number of Shares"
2020-12-10,"Twitter",300161,"Geert Wilders (PVV)","Number of Shares"
2020-12-11,"Twitter",301732,"Geert Wilders (PVV)","Number of Shares"
2020-12-12,"Twitter",303008,"Geert Wilders (PVV)","Number of Shares"
2020-12-13,"Twitter",303498,"Geert Wilders (PVV)","Number of Shares"
2020-12-14,"Twitter",303915,"Geert Wilders (PVV)","Number of Shares"
2020-12-15,"Twitter",307173,"Geert Wilders (PVV)","Number of Shares"
2020-12-16,"Twitter",307675,"Geert Wilders (PVV)","Number of Shares"
2020-12-17,"Twitter",310942,"Geert Wilders (PVV)","Number of Shares"
2020-12-18,"Twitter",313413,"Geert Wilders (PVV)","Number of Shares"
2020-12-19,"Twitter",314502,"Geert Wilders (PVV)","Number of Shares"
2020-12-20,"Twitter",316853,"Geert Wilders (PVV)","Number of Shares"
2020-12-21,"Twitter",318521,"Geert Wilders (PVV)","Number of Shares"
2020-12-22,"Twitter",322350,"Geert Wilders (PVV)","Number of Shares"
2020-12-23,"Twitter",324131,"Geert Wilders (PVV)","Number of Shares"
2020-12-24,"Twitter",325985,"Geert Wilders (PVV)","Number of Shares"
2020-12-25,"Twitter",327020,"Geert Wilders (PVV)","Number of Shares"
2020-12-26,"Twitter",328124,"Geert Wilders (PVV)","Number of Shares"
2020-12-27,"Twitter",329826,"Geert Wilders (PVV)","Number of Shares"
2020-12-28,"Twitter",332352,"Geert Wilders (PVV)","Number of Shares"
2020-12-29,"Twitter",332846,"Geert Wilders (PVV)","Number of Shares"
2020-12-30,"Twitter",334858,"Geert Wilders (PVV)","Number of Shares"
2020-12-31,"Twitter",337225,"Geert Wilders (PVV)","Number of Shares"
2021-01-01,"Twitter",338508,"Geert Wilders (PVV)","Number of Shares"
2021-01-02,"Twitter",339288,"Geert Wilders (PVV)","Number of Shares"
2021-01-03,"Twitter",339477,"Geert Wilders (PVV)","Number of Shares"
2021-01-04,"Twitter",340435,"Geert Wilders (PVV)","Number of Shares"
2021-01-05,"Twitter",342453,"Geert Wilders (PVV)","Number of Shares"
2021-01-06,"Twitter",344008,"Geert Wilders (PVV)","Number of Shares"
2021-01-07,"Twitter",345851,"Geert Wilders (PVV)","Number of Shares"
2021-01-08,"Twitter",348231,"Geert Wilders (PVV)","Number of Shares"
2021-01-09,"Twitter",351128,"Geert Wilders (PVV)","Number of Shares"
2021-01-10,"Twitter",353900,"Geert Wilders (PVV)","Number of Shares"
2021-01-11,"Twitter",357052,"Geert Wilders (PVV)","Number of Shares"
2021-01-12,"Twitter",358169,"Geert Wilders (PVV)","Number of Shares"
2021-01-13,"Twitter",360891,"Geert Wilders (PVV)","Number of Shares"
2021-01-14,"Twitter",362735,"Geert Wilders (PVV)","Number of Shares"
2021-01-15,"Twitter",365507,"Geert Wilders (PVV)","Number of Shares"
2021-01-16,"Twitter",366261,"Geert Wilders (PVV)","Number of Shares"
2021-01-17,"Twitter",367462,"Geert Wilders (PVV)","Number of Shares"
2021-01-18,"Twitter",368924,"Geert Wilders (PVV)","Number of Shares"
2021-01-19,"Twitter",373627,"Geert Wilders (PVV)","Number of Shares"
2021-01-20,"Twitter",376511,"Geert Wilders (PVV)","Number of Shares"
2021-01-21,"Twitter",381271,"Geert Wilders (PVV)","Number of Shares"
2021-01-22,"Twitter",382621,"Geert Wilders (PVV)","Number of Shares"
2021-01-23,"Twitter",383312,"Geert Wilders (PVV)","Number of Shares"
2021-01-24,"Twitter",386443,"Geert Wilders (PVV)","Number of Shares"
2021-01-25,"Twitter",395152,"Geert Wilders (PVV)","Number of Shares"
2021-01-26,"Twitter",397546,"Geert Wilders (PVV)","Number of Shares"
2021-01-27,"Twitter",400666,"Geert Wilders (PVV)","Number of Shares"
2021-01-28,"Twitter",400963,"Geert Wilders (PVV)","Number of Shares"
2021-01-29,"Twitter",401609,"Geert Wilders (PVV)","Number of Shares"
2021-01-30,"Twitter",405228,"Geert Wilders (PVV)","Number of Shares"
2021-01-31,"Twitter",407748,"Geert Wilders (PVV)","Number of Shares"
2021-02-01,"Twitter",408880,"Geert Wilders (PVV)","Number of Shares"
2021-02-02,"Twitter",409322,"Geert Wilders (PVV)","Number of Shares"
2021-02-03,"Twitter",410800,"Geert Wilders (PVV)","Number of Shares"
2021-02-04,"Twitter",413848,"Geert Wilders (PVV)","Number of Shares"
2021-02-05,"Twitter",415463,"Geert Wilders (PVV)","Number of Shares"
2021-02-06,"Twitter",416658,"Geert Wilders (PVV)","Number of Shares"
2021-02-07,"Twitter",417693,"Geert Wilders (PVV)","Number of Shares"
2021-02-08,"Twitter",422206,"Geert Wilders (PVV)","Number of Shares"
2021-02-09,"Twitter",425022,"Geert Wilders (PVV)","Number of Shares"
2021-02-10,"Twitter",426434,"Geert Wilders (PVV)","Number of Shares"
2021-02-11,"Twitter",426726,"Geert Wilders (PVV)","Number of Shares"
2021-02-12,"Twitter",428975,"Geert Wilders (PVV)","Number of Shares"
2021-02-13,"Twitter",431465,"Geert Wilders (PVV)","Number of Shares"
2021-02-14,"Twitter",435540,"Geert Wilders (PVV)","Number of Shares"
2021-02-15,"Twitter",441372,"Geert Wilders (PVV)","Number of Shares"
2021-02-16,"Twitter",446861,"Geert Wilders (PVV)","Number of Shares"
2021-02-17,"Twitter",448245,"Geert Wilders (PVV)","Number of Shares"
2021-02-18,"Twitter",452937,"Geert Wilders (PVV)","Number of Shares"
2021-02-19,"Twitter",455065,"Geert Wilders (PVV)","Number of Shares"
2021-02-20,"Twitter",457715,"Geert Wilders (PVV)","Number of Shares"
2021-02-21,"Twitter",460288,"Geert Wilders (PVV)","Number of Shares"
2021-02-22,"Twitter",461250,"Geert Wilders (PVV)","Number of Shares"
2020-08-14,"Facebook",0,"Geert Wilders (PVV)","Number of Likes"
2020-08-15,"Facebook",25571,"Geert Wilders (PVV)","Number of Likes"
2020-08-16,"Facebook",29573,"Geert Wilders (PVV)","Number of Likes"
2020-08-17,"Facebook",33303,"Geert Wilders (PVV)","Number of Likes"
2020-08-18,"Facebook",34227,"Geert Wilders (PVV)","Number of Likes"
2020-08-19,"Facebook",71807,"Geert Wilders (PVV)","Number of Likes"
2020-08-20,"Facebook",75415,"Geert Wilders (PVV)","Number of Likes"
2020-08-21,"Facebook",82041,"Geert Wilders (PVV)","Number of Likes"
2020-08-22,"Facebook",83091,"Geert Wilders (PVV)","Number of Likes"
2020-08-23,"Facebook",94215,"Geert Wilders (PVV)","Number of Likes"
2020-08-24,"Facebook",105040,"Geert Wilders (PVV)","Number of Likes"
2020-08-25,"Facebook",106165,"Geert Wilders (PVV)","Number of Likes"
2020-08-26,"Facebook",107642,"Geert Wilders (PVV)","Number of Likes"
2020-08-27,"Facebook",108321,"Geert Wilders (PVV)","Number of Likes"
2020-08-28,"Facebook",123303,"Geert Wilders (PVV)","Number of Likes"
2020-08-29,"Facebook",123303,"Geert Wilders (PVV)","Number of Likes"
2020-08-30,"Facebook",129074,"Geert Wilders (PVV)","Number of Likes"
2020-08-31,"Facebook",137752,"Geert Wilders (PVV)","Number of Likes"
2020-09-01,"Facebook",143757,"Geert Wilders (PVV)","Number of Likes"
2020-09-02,"Facebook",176197,"Geert Wilders (PVV)","Number of Likes"
2020-09-03,"Facebook",187579,"Geert Wilders (PVV)","Number of Likes"
2020-09-04,"Facebook",214457,"Geert Wilders (PVV)","Number of Likes"
2020-09-05,"Facebook",214457,"Geert Wilders (PVV)","Number of Likes"
2020-09-06,"Facebook",235949,"Geert Wilders (PVV)","Number of Likes"
2020-09-07,"Facebook",248775,"Geert Wilders (PVV)","Number of Likes"
2020-09-08,"Facebook",261093,"Geert Wilders (PVV)","Number of Likes"
2020-09-09,"Facebook",281952,"Geert Wilders (PVV)","Number of Likes"
2020-09-10,"Facebook",284796,"Geert Wilders (PVV)","Number of Likes"
2020-09-11,"Facebook",294411,"Geert Wilders (PVV)","Number of Likes"
2020-09-12,"Facebook",296370,"Geert Wilders (PVV)","Number of Likes"
2020-09-13,"Facebook",297288,"Geert Wilders (PVV)","Number of Likes"
2020-09-14,"Facebook",298075,"Geert Wilders (PVV)","Number of Likes"
2020-09-15,"Facebook",309173,"Geert Wilders (PVV)","Number of Likes"
2020-09-16,"Facebook",330566,"Geert Wilders (PVV)","Number of Likes"
2020-09-17,"Facebook",353461,"Geert Wilders (PVV)","Number of Likes"
2020-09-18,"Facebook",365372,"Geert Wilders (PVV)","Number of Likes"
2020-09-19,"Facebook",373647,"Geert Wilders (PVV)","Number of Likes"
2020-09-20,"Facebook",374667,"Geert Wilders (PVV)","Number of Likes"
2020-09-21,"Facebook",381935,"Geert Wilders (PVV)","Number of Likes"
2020-09-22,"Facebook",392745,"Geert Wilders (PVV)","Number of Likes"
2020-09-23,"Facebook",403414,"Geert Wilders (PVV)","Number of Likes"
2020-09-24,"Facebook",408592,"Geert Wilders (PVV)","Number of Likes"
2020-09-25,"Facebook",416421,"Geert Wilders (PVV)","Number of Likes"
2020-09-26,"Facebook",417773,"Geert Wilders (PVV)","Number of Likes"
2020-09-27,"Facebook",432772,"Geert Wilders (PVV)","Number of Likes"
2020-09-28,"Facebook",439214,"Geert Wilders (PVV)","Number of Likes"
2020-09-29,"Facebook",449160,"Geert Wilders (PVV)","Number of Likes"
2020-09-30,"Facebook",458976,"Geert Wilders (PVV)","Number of Likes"
2020-10-01,"Facebook",460628,"Geert Wilders (PVV)","Number of Likes"
2020-10-02,"Facebook",463251,"Geert Wilders (PVV)","Number of Likes"
2020-10-03,"Facebook",479353,"Geert Wilders (PVV)","Number of Likes"
2020-10-04,"Facebook",483444,"Geert Wilders (PVV)","Number of Likes"
2020-10-05,"Facebook",496875,"Geert Wilders (PVV)","Number of Likes"
2020-10-06,"Facebook",507184,"Geert Wilders (PVV)","Number of Likes"
2020-10-07,"Facebook",528862,"Geert Wilders (PVV)","Number of Likes"
2020-10-08,"Facebook",532808,"Geert Wilders (PVV)","Number of Likes"
2020-10-09,"Facebook",539515,"Geert Wilders (PVV)","Number of Likes"
2020-10-10,"Facebook",540545,"Geert Wilders (PVV)","Number of Likes"
2020-10-11,"Facebook",559182,"Geert Wilders (PVV)","Number of Likes"
2020-10-12,"Facebook",573150,"Geert Wilders (PVV)","Number of Likes"
2020-10-13,"Facebook",585984,"Geert Wilders (PVV)","Number of Likes"
2020-10-14,"Facebook",606469,"Geert Wilders (PVV)","Number of Likes"
2020-10-15,"Facebook",616824,"Geert Wilders (PVV)","Number of Likes"
2020-10-16,"Facebook",625008,"Geert Wilders (PVV)","Number of Likes"
2020-10-17,"Facebook",629798,"Geert Wilders (PVV)","Number of Likes"
2020-10-18,"Facebook",643129,"Geert Wilders (PVV)","Number of Likes"
2020-10-19,"Facebook",653626,"Geert Wilders (PVV)","Number of Likes"
2020-10-20,"Facebook",659894,"Geert Wilders (PVV)","Number of Likes"
2020-10-21,"Facebook",671274,"Geert Wilders (PVV)","Number of Likes"
2020-10-22,"Facebook",685739,"Geert Wilders (PVV)","Number of Likes"
2020-10-23,"Facebook",700645,"Geert Wilders (PVV)","Number of Likes"
2020-10-24,"Facebook",707605,"Geert Wilders (PVV)","Number of Likes"
2020-10-25,"Facebook",726338,"Geert Wilders (PVV)","Number of Likes"
2020-10-26,"Facebook",741595,"Geert Wilders (PVV)","Number of Likes"
2020-10-27,"Facebook",766000,"Geert Wilders (PVV)","Number of Likes"
2020-10-28,"Facebook",786478,"Geert Wilders (PVV)","Number of Likes"
2020-10-29,"Facebook",801911,"Geert Wilders (PVV)","Number of Likes"
2020-10-30,"Facebook",818283,"Geert Wilders (PVV)","Number of Likes"
2020-10-31,"Facebook",822242,"Geert Wilders (PVV)","Number of Likes"
2020-11-01,"Facebook",841984,"Geert Wilders (PVV)","Number of Likes"
2020-11-02,"Facebook",865709,"Geert Wilders (PVV)","Number of Likes"
2020-11-03,"Facebook",887202,"Geert Wilders (PVV)","Number of Likes"
2020-11-04,"Facebook",905244,"Geert Wilders (PVV)","Number of Likes"
2020-11-05,"Facebook",927920,"Geert Wilders (PVV)","Number of Likes"
2020-11-06,"Facebook",945806,"Geert Wilders (PVV)","Number of Likes"
2020-11-07,"Facebook",947763,"Geert Wilders (PVV)","Number of Likes"
2020-11-08,"Facebook",957881,"Geert Wilders (PVV)","Number of Likes"
2020-11-09,"Facebook",963995,"Geert Wilders (PVV)","Number of Likes"
2020-11-10,"Facebook",976016,"Geert Wilders (PVV)","Number of Likes"
2020-11-11,"Facebook",989546,"Geert Wilders (PVV)","Number of Likes"
2020-11-12,"Facebook",1007419,"Geert Wilders (PVV)","Number of Likes"
2020-11-13,"Facebook",1026408,"Geert Wilders (PVV)","Number of Likes"
2020-11-14,"Facebook",1031300,"Geert Wilders (PVV)","Number of Likes"
2020-11-15,"Facebook",1051683,"Geert Wilders (PVV)","Number of Likes"
2020-11-16,"Facebook",1055425,"Geert Wilders (PVV)","Number of Likes"
2020-11-17,"Facebook",1063735,"Geert Wilders (PVV)","Number of Likes"
2020-11-18,"Facebook",1082250,"Geert Wilders (PVV)","Number of Likes"
2020-11-19,"Facebook",1090252,"Geert Wilders (PVV)","Number of Likes"
2020-11-20,"Facebook",1090252,"Geert Wilders (PVV)","Number of Likes"
2020-11-21,"Facebook",1097100,"Geert Wilders (PVV)","Number of Likes"
2020-11-22,"Facebook",1106001,"Geert Wilders (PVV)","Number of Likes"
2020-11-23,"Facebook",1117873,"Geert Wilders (PVV)","Number of Likes"
2020-11-24,"Facebook",1127287,"Geert Wilders (PVV)","Number of Likes"
2020-11-25,"Facebook",1138695,"Geert Wilders (PVV)","Number of Likes"
2020-11-26,"Facebook",1141036,"Geert Wilders (PVV)","Number of Likes"
2020-11-27,"Facebook",1149862,"Geert Wilders (PVV)","Number of Likes"
2020-11-28,"Facebook",1156209,"Geert Wilders (PVV)","Number of Likes"
2020-11-29,"Facebook",1161583,"Geert Wilders (PVV)","Number of Likes"
2020-11-30,"Facebook",1165661,"Geert Wilders (PVV)","Number of Likes"
2020-12-01,"Facebook",1171487,"Geert Wilders (PVV)","Number of Likes"
2020-12-02,"Facebook",1182834,"Geert Wilders (PVV)","Number of Likes"
2020-12-03,"Facebook",1194118,"Geert Wilders (PVV)","Number of Likes"
2020-12-04,"Facebook",1196185,"Geert Wilders (PVV)","Number of Likes"
2020-12-05,"Facebook",1198805,"Geert Wilders (PVV)","Number of Likes"
2020-12-06,"Facebook",1206961,"Geert Wilders (PVV)","Number of Likes"
2020-12-07,"Facebook",1221793,"Geert Wilders (PVV)","Number of Likes"
2020-12-08,"Facebook",1236024,"Geert Wilders (PVV)","Number of Likes"
2020-12-09,"Facebook",1250400,"Geert Wilders (PVV)","Number of Likes"
2020-12-10,"Facebook",1259406,"Geert Wilders (PVV)","Number of Likes"
2020-12-11,"Facebook",1263118,"Geert Wilders (PVV)","Number of Likes"
2020-12-12,"Facebook",1267675,"Geert Wilders (PVV)","Number of Likes"
2020-12-13,"Facebook",1279434,"Geert Wilders (PVV)","Number of Likes"
2020-12-14,"Facebook",1285692,"Geert Wilders (PVV)","Number of Likes"
2020-12-15,"Facebook",1299972,"Geert Wilders (PVV)","Number of Likes"
2020-12-16,"Facebook",1300872,"Geert Wilders (PVV)","Number of Likes"
2020-12-17,"Facebook",1309106,"Geert Wilders (PVV)","Number of Likes"
2020-12-18,"Facebook",1313069,"Geert Wilders (PVV)","Number of Likes"
2020-12-19,"Facebook",1322515,"Geert Wilders (PVV)","Number of Likes"
2020-12-20,"Facebook",1344668,"Geert Wilders (PVV)","Number of Likes"
2020-12-21,"Facebook",1347404,"Geert Wilders (PVV)","Number of Likes"
2020-12-22,"Facebook",1363001,"Geert Wilders (PVV)","Number of Likes"
2020-12-23,"Facebook",1373646,"Geert Wilders (PVV)","Number of Likes"
2020-12-24,"Facebook",1389382,"Geert Wilders (PVV)","Number of Likes"
2020-12-25,"Facebook",1402534,"Geert Wilders (PVV)","Number of Likes"
2020-12-26,"Facebook",1404284,"Geert Wilders (PVV)","Number of Likes"
2020-12-27,"Facebook",1412242,"Geert Wilders (PVV)","Number of Likes"
2020-12-28,"Facebook",1419287,"Geert Wilders (PVV)","Number of Likes"
2020-12-29,"Facebook",1419287,"Geert Wilders (PVV)","Number of Likes"
2020-12-30,"Facebook",1421375,"Geert Wilders (PVV)","Number of Likes"
2020-12-31,"Facebook",1431264,"Geert Wilders (PVV)","Number of Likes"
2021-01-01,"Facebook",1434593,"Geert Wilders (PVV)","Number of Likes"
2021-01-02,"Facebook",1437901,"Geert Wilders (PVV)","Number of Likes"
2021-01-03,"Facebook",1444226,"Geert Wilders (PVV)","Number of Likes"
2021-01-04,"Facebook",1446623,"Geert Wilders (PVV)","Number of Likes"
2021-01-05,"Facebook",1464127,"Geert Wilders (PVV)","Number of Likes"
2021-01-06,"Facebook",1466667,"Geert Wilders (PVV)","Number of Likes"
2021-01-07,"Facebook",1472515,"Geert Wilders (PVV)","Number of Likes"
2021-01-08,"Facebook",1485871,"Geert Wilders (PVV)","Number of Likes"
2021-01-09,"Facebook",1501138,"Geert Wilders (PVV)","Number of Likes"
2021-01-10,"Facebook",1513221,"Geert Wilders (PVV)","Number of Likes"
2021-01-11,"Facebook",1522800,"Geert Wilders (PVV)","Number of Likes"
2021-01-12,"Facebook",1527358,"Geert Wilders (PVV)","Number of Likes"
2021-01-13,"Facebook",1535891,"Geert Wilders (PVV)","Number of Likes"
2021-01-14,"Facebook",1545097,"Geert Wilders (PVV)","Number of Likes"
2021-01-15,"Facebook",1568021,"Geert Wilders (PVV)","Number of Likes"
2021-01-16,"Facebook",1568021,"Geert Wilders (PVV)","Number of Likes"
2021-01-17,"Facebook",1580760,"Geert Wilders (PVV)","Number of Likes"
2021-01-18,"Facebook",1582672,"Geert Wilders (PVV)","Number of Likes"
2021-01-19,"Facebook",1616728,"Geert Wilders (PVV)","Number of Likes"
2021-01-20,"Facebook",1625251,"Geert Wilders (PVV)","Number of Likes"
2021-01-21,"Facebook",1658241,"Geert Wilders (PVV)","Number of Likes"
2021-01-22,"Facebook",1659807,"Geert Wilders (PVV)","Number of Likes"
2021-01-23,"Facebook",1662095,"Geert Wilders (PVV)","Number of Likes"
2021-01-24,"Facebook",1676933,"Geert Wilders (PVV)","Number of Likes"
2021-01-25,"Facebook",1706831,"Geert Wilders (PVV)","Number of Likes"
2021-01-26,"Facebook",1718946,"Geert Wilders (PVV)","Number of Likes"
2021-01-27,"Facebook",1731840,"Geert Wilders (PVV)","Number of Likes"
2021-01-28,"Facebook",1735896,"Geert Wilders (PVV)","Number of Likes"
2021-01-29,"Facebook",1739434,"Geert Wilders (PVV)","Number of Likes"
2021-01-30,"Facebook",1741585,"Geert Wilders (PVV)","Number of Likes"
2021-01-31,"Facebook",1751932,"Geert Wilders (PVV)","Number of Likes"
2021-02-01,"Facebook",1757096,"Geert Wilders (PVV)","Number of Likes"
2021-02-02,"Facebook",1759602,"Geert Wilders (PVV)","Number of Likes"
2021-02-03,"Facebook",1761092,"Geert Wilders (PVV)","Number of Likes"
2021-02-04,"Facebook",1775586,"Geert Wilders (PVV)","Number of Likes"
2021-02-05,"Facebook",1782801,"Geert Wilders (PVV)","Number of Likes"
2021-02-06,"Facebook",1785320,"Geert Wilders (PVV)","Number of Likes"
2021-02-07,"Facebook",1803031,"Geert Wilders (PVV)","Number of Likes"
2021-02-08,"Facebook",1820639,"Geert Wilders (PVV)","Number of Likes"
2021-02-09,"Facebook",1832532,"Geert Wilders (PVV)","Number of Likes"
2021-02-10,"Facebook",1832532,"Geert Wilders (PVV)","Number of Likes"
2021-02-11,"Facebook",1839515,"Geert Wilders (PVV)","Number of Likes"
2021-02-12,"Facebook",1849454,"Geert Wilders (PVV)","Number of Likes"
2021-02-13,"Facebook",1861955,"Geert Wilders (PVV)","Number of Likes"
2021-02-14,"Facebook",1878024,"Geert Wilders (PVV)","Number of Likes"
2021-02-15,"Facebook",1899731,"Geert Wilders (PVV)","Number of Likes"
2021-02-16,"Facebook",1939317,"Geert Wilders (PVV)","Number of Likes"
2021-02-17,"Facebook",1939979,"Geert Wilders (PVV)","Number of Likes"
2021-02-18,"Facebook",1960059,"Geert Wilders (PVV)","Number of Likes"
2021-02-19,"Facebook",1975814,"Geert Wilders (PVV)","Number of Likes"
2021-02-20,"Facebook",1986280,"Geert Wilders (PVV)","Number of Likes"
2021-02-21,"Facebook",2003948,"Geert Wilders (PVV)","Number of Likes"
2021-02-22,"Facebook",2015888,"Geert Wilders (PVV)","Number of Likes"
2020-08-14,"Instagram",0,"Geert Wilders (PVV)","Number of Likes"
2020-08-15,"Instagram",43456,"Geert Wilders (PVV)","Number of Likes"
2020-08-16,"Instagram",43456,"Geert Wilders (PVV)","Number of Likes"
2020-08-17,"Instagram",43456,"Geert Wilders (PVV)","Number of Likes"
2020-08-18,"Instagram",43456,"Geert Wilders (PVV)","Number of Likes"
2020-08-19,"Instagram",60520,"Geert Wilders (PVV)","Number of Likes"
2020-08-20,"Instagram",70130,"Geert Wilders (PVV)","Number of Likes"
2020-08-21,"Instagram",86851,"Geert Wilders (PVV)","Number of Likes"
2020-08-22,"Instagram",86851,"Geert Wilders (PVV)","Number of Likes"
2020-08-23,"Instagram",105484,"Geert Wilders (PVV)","Number of Likes"
2020-08-24,"Instagram",120949,"Geert Wilders (PVV)","Number of Likes"
2020-08-25,"Instagram",120949,"Geert Wilders (PVV)","Number of Likes"
2020-08-26,"Instagram",120949,"Geert Wilders (PVV)","Number of Likes"
2020-08-27,"Instagram",120949,"Geert Wilders (PVV)","Number of Likes"
2020-08-28,"Instagram",128825,"Geert Wilders (PVV)","Number of Likes"
2020-08-29,"Instagram",128825,"Geert Wilders (PVV)","Number of Likes"
2020-08-30,"Instagram",135124,"Geert Wilders (PVV)","Number of Likes"
2020-08-31,"Instagram",140524,"Geert Wilders (PVV)","Number of Likes"
2020-09-01,"Instagram",140524,"Geert Wilders (PVV)","Number of Likes"
2020-09-02,"Instagram",140524,"Geert Wilders (PVV)","Number of Likes"
2020-09-03,"Instagram",140524,"Geert Wilders (PVV)","Number of Likes"
2020-09-04,"Instagram",175354,"Geert Wilders (PVV)","Number of Likes"
2020-09-05,"Instagram",175354,"Geert Wilders (PVV)","Number of Likes"
2020-09-06,"Instagram",201540,"Geert Wilders (PVV)","Number of Likes"
2020-09-07,"Instagram",206647,"Geert Wilders (PVV)","Number of Likes"
2020-09-08,"Instagram",206647,"Geert Wilders (PVV)","Number of Likes"
2020-09-09,"Instagram",206647,"Geert Wilders (PVV)","Number of Likes"
2020-09-10,"Instagram",206647,"Geert Wilders (PVV)","Number of Likes"
2020-09-11,"Instagram",206647,"Geert Wilders (PVV)","Number of Likes"
2020-09-12,"Instagram",206647,"Geert Wilders (PVV)","Number of Likes"
2020-09-13,"Instagram",206647,"Geert Wilders (PVV)","Number of Likes"
2020-09-14,"Instagram",210323,"Geert Wilders (PVV)","Number of Likes"
2020-09-15,"Instagram",210323,"Geert Wilders (PVV)","Number of Likes"
2020-09-16,"Instagram",210323,"Geert Wilders (PVV)","Number of Likes"
2020-09-17,"Instagram",210323,"Geert Wilders (PVV)","Number of Likes"
2020-09-18,"Instagram",213194,"Geert Wilders (PVV)","Number of Likes"
2020-09-19,"Instagram",217102,"Geert Wilders (PVV)","Number of Likes"
2020-09-20,"Instagram",222110,"Geert Wilders (PVV)","Number of Likes"
2020-09-21,"Instagram",222110,"Geert Wilders (PVV)","Number of Likes"
2020-09-22,"Instagram",222110,"Geert Wilders (PVV)","Number of Likes"
2020-09-23,"Instagram",242187,"Geert Wilders (PVV)","Number of Likes"
2020-09-24,"Instagram",242187,"Geert Wilders (PVV)","Number of Likes"
2020-09-25,"Instagram",256900,"Geert Wilders (PVV)","Number of Likes"
2020-09-26,"Instagram",256900,"Geert Wilders (PVV)","Number of Likes"
2020-09-27,"Instagram",256900,"Geert Wilders (PVV)","Number of Likes"
2020-09-28,"Instagram",256900,"Geert Wilders (PVV)","Number of Likes"
2020-09-29,"Instagram",256900,"Geert Wilders (PVV)","Number of Likes"
2020-09-30,"Instagram",256900,"Geert Wilders (PVV)","Number of Likes"
2020-10-01,"Instagram",256900,"Geert Wilders (PVV)","Number of Likes"
2020-10-02,"Instagram",256900,"Geert Wilders (PVV)","Number of Likes"
2020-10-03,"Instagram",268236,"Geert Wilders (PVV)","Number of Likes"
2020-10-04,"Instagram",273674,"Geert Wilders (PVV)","Number of Likes"
2020-10-05,"Instagram",273674,"Geert Wilders (PVV)","Number of Likes"
2020-10-06,"Instagram",273674,"Geert Wilders (PVV)","Number of Likes"
2020-10-07,"Instagram",273674,"Geert Wilders (PVV)","Number of Likes"
2020-10-08,"Instagram",273674,"Geert Wilders (PVV)","Number of Likes"
2020-10-09,"Instagram",278568,"Geert Wilders (PVV)","Number of Likes"
2020-10-10,"Instagram",278568,"Geert Wilders (PVV)","Number of Likes"
2020-10-11,"Instagram",290941,"Geert Wilders (PVV)","Number of Likes"
2020-10-12,"Instagram",290941,"Geert Wilders (PVV)","Number of Likes"
2020-10-13,"Instagram",305355,"Geert Wilders (PVV)","Number of Likes"
2020-10-14,"Instagram",311670,"Geert Wilders (PVV)","Number of Likes"
2020-10-15,"Instagram",311670,"Geert Wilders (PVV)","Number of Likes"
2020-10-16,"Instagram",321765,"Geert Wilders (PVV)","Number of Likes"
2020-10-17,"Instagram",330236,"Geert Wilders (PVV)","Number of Likes"
2020-10-18,"Instagram",336685,"Geert Wilders (PVV)","Number of Likes"
2020-10-19,"Instagram",350581,"Geert Wilders (PVV)","Number of Likes"
2020-10-20,"Instagram",359970,"Geert Wilders (PVV)","Number of Likes"
2020-10-21,"Instagram",359970,"Geert Wilders (PVV)","Number of Likes"
2020-10-22,"Instagram",362066,"Geert Wilders (PVV)","Number of Likes"
