"name_label","date","platform","dif","final_label"
"Farid Azarkan (DENK)",2021-01-30,"facebook",3.01,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-01-31,"facebook",3.08,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-02,"facebook",3.2,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-03,"facebook",3.25,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-04,"facebook",3.43,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-05,"facebook",3.61,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-06,"facebook",3.71,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-07,"facebook",3.82,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-09,"facebook",3.99,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-11,"facebook",4.06,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-12,"facebook",4.09,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-13,"facebook",4.12,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-14,"facebook",4.16,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Farid Azarkan (DENK)",2021-02-15,"facebook",4.19,"Farid Azarkan (DENK):  26,345 to  27,449 (+4%)"
"Thierry Baudet (FvD)",2021-01-01,"facebook",0,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-02,"facebook",0.19,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-03,"facebook",0.31,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-04,"facebook",0.43,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-05,"facebook",0.54,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-06,"facebook",0.62,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-07,"facebook",0.66,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-08,"facebook",0.71,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-09,"facebook",0.75,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-10,"facebook",0.86,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-11,"facebook",0.97,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-12,"facebook",1.08,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-13,"facebook",1.37,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-14,"facebook",1.54,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-15,"facebook",1.56,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-16,"facebook",1.67,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-17,"facebook",1.73,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-18,"facebook",1.72,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
"Thierry Baudet (FvD)",2021-01-19,"facebook",1.72,"Thierry Baudet (FvD):  86,814 to  92,933 (+7%)"
