"name_label","date","twitter_diff","final_label"
"Jesse Klaver (GL)",2021-02-05,1.41,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-02-06,1.42,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-02-07,1.43,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-02-08,1.44,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-02-09,1.45,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-02-10,1.46,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-02-11,1.47,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-02-12,1.48,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-02-13,1.53,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-02-14,1.6,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Jesse Klaver (GL)",2021-02-15,1.68,"Jesse Klaver (GL): 276,382 to 281,152 (+2%)"
"Lilian Marijnissen (SP)",2021-01-21,0,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-01-22,0.35,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-01-23,0.7,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-01-24,1.05,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-01-25,1.39,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-01-26,1.74,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-01-27,2.09,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-01-28,2.44,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-01-29,2.79,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-01-30,3.11,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-01-31,3.36,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-02-01,3.61,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
"Lilian Marijnissen (SP)",2021-02-02,3.86,"Lilian Marijnissen (SP): 44,143 to 46,711 (+6%)"
