"date","instagram","diff","name_label","final_label"
2021-01-10,"jesseklaver",0,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-11,"jesseklaver",0.06,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-12,"jesseklaver",0.11,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-13,"jesseklaver",0.15,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-14,"jesseklaver",0.18,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-15,"jesseklaver",0.22,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-16,"jesseklaver",0.29,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-17,"jesseklaver",0.37,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-18,"jesseklaver",0.44,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-19,"jesseklaver",0.45,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-20,"jesseklaver",0.53,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-21,"jesseklaver",0.55,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-22,"jesseklaver",2.51,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-23,"jesseklaver",4.46,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-24,"jesseklaver",5.05,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-25,"jesseklaver",5.31,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-26,"jesseklaver",5.58,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-27,"jesseklaver",5.74,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-28,"jesseklaver",5.81,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-29,"jesseklaver",6.01,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-30,"jesseklaver",6.04,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-01-31,"jesseklaver",6.1,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-02-01,"jesseklaver",6.17,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-02-02,"jesseklaver",6.23,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-02-03,"jesseklaver",6.3,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-02-04,"jesseklaver",6.36,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-02-05,"jesseklaver",6.74,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-02-06,"jesseklaver",7.16,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-02-07,"jesseklaver",7.31,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-02-08,"jesseklaver",7.42,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-02-09,"jesseklaver",7.6,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-02-10,"jesseklaver",7.73,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-02-11,"jesseklaver",7.93,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-02-12,"jesseklaver",8.17,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-02-13,"jesseklaver",8.36,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-02-14,"jesseklaver",8.46,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
2021-02-15,"jesseklaver",8.54,"Jesse Klaver (GL)","Jesse Klaver (GL):  65,965 to  71,689 (+9%)"
